Date,incidents
2001-01-01,18
2001-01-08,113
2001-01-15,127
2001-01-22,132
2001-01-29,118
2001-02-05,115
2001-02-12,115
2001-02-19,126
2001-02-26,115
2001-03-05,125
2001-03-12,122
2001-03-19,125
2001-03-26,127
2001-04-02,140
2001-04-09,104
2001-04-16,102
2001-04-23,116
2001-04-30,135
2001-05-07,144
2001-05-14,116
2001-05-21,117
2001-05-28,118
2001-06-04,123
2001-06-11,133
2001-06-18,131
2001-06-25,111
2001-07-02,128
2001-07-09,131
2001-07-16,116
2001-07-23,111
2001-07-30,140
2001-08-06,150
2001-08-13,120
2001-08-20,131
2001-08-27,132
2001-09-03,156
2001-09-10,129
2001-09-17,111
2001-09-24,150
2001-10-01,156
2001-10-08,109
2001-10-15,146
2001-10-22,142
2001-10-29,142
2001-11-05,155
2001-11-12,131
2001-11-19,137
2001-11-26,141
2001-12-03,129
2001-12-10,131
2001-12-17,136
2001-12-24,139
2001-12-31,95
2002-01-07,119
2002-01-14,135
2002-01-21,98
2002-01-28,110
2002-02-04,127
2002-02-11,101
2002-02-18,96
2002-02-25,105
2002-03-04,110
2002-03-11,135
2002-03-18,106
2002-03-25,136
2002-04-01,129
2002-04-08,121
2002-04-15,108
2002-04-22,111
2002-04-29,141
2002-05-06,132
2002-05-13,142
2002-05-20,117
2002-05-27,133
2002-06-03,169
2002-06-10,107
2002-06-17,144
2002-06-24,133
2002-07-01,135
2002-07-08,138
2002-07-15,148
2002-07-22,146
2002-07-29,139
2002-08-05,127
2002-08-12,147
2002-08-19,134
2002-08-26,135
2002-09-02,116
2002-09-09,108
2002-09-16,120
2002-09-23,119
2002-09-30,129
2002-10-07,123
2002-10-14,112
2002-10-21,125
2002-10-28,124
2002-11-04,141
2002-11-11,145
2002-11-18,109
2002-11-25,126
2002-12-02,128
2002-12-09,106
2002-12-16,148
2002-12-23,145
2002-12-30,125
2003-01-06,155
2003-01-13,109
2003-01-20,106
2003-01-27,105
2003-02-03,128
2003-02-10,114
2003-02-17,127
2003-02-24,121
2003-03-03,115
2003-03-10,103
2003-03-17,108
2003-03-24,106
2003-03-31,114
2003-04-07,121
2003-04-14,118
2003-04-21,112
2003-04-28,115
2003-05-05,129
2003-05-12,125
2003-05-19,118
2003-05-26,108
2003-06-02,119
2003-06-09,116
2003-06-16,138
2003-06-23,118
2003-06-30,140
2003-07-07,120
2003-07-14,141
2003-07-21,158
2003-07-28,153
2003-08-04,157
2003-08-11,141
2003-08-18,155
2003-08-25,108
2003-09-01,138
2003-09-08,114
2003-09-15,118
2003-09-22,120
2003-09-29,112
2003-10-06,121
2003-10-13,123
2003-10-20,122
2003-10-27,122
2003-11-03,115
2003-11-10,117
2003-11-17,107
2003-11-24,123
2003-12-01,141
2003-12-08,123
2003-12-15,142
2003-12-22,129
2003-12-29,114
2004-01-05,133
2004-01-12,113
2004-01-19,104
2004-01-26,110
2004-02-02,125
2004-02-09,96
2004-02-16,105
2004-02-23,99
2004-03-01,108
2004-03-08,105
2004-03-15,108
2004-03-22,118
2004-03-29,109
2004-04-05,144
2004-04-12,105
2004-04-19,124
2004-04-26,100
2004-05-03,99
2004-05-10,113
2004-05-17,130
2004-05-24,109
2004-05-31,122
2004-06-07,140
2004-06-14,122
2004-06-21,118
2004-06-28,142
2004-07-05,142
2004-07-12,133
2004-07-19,148
2004-07-26,113
2004-08-02,116
2004-08-09,107
2004-08-16,128
2004-08-23,131
2004-08-30,140
2004-09-06,132
2004-09-13,127
2004-09-20,131
2004-09-27,120
2004-10-04,145
2004-10-11,124
2004-10-18,147
2004-10-25,142
2004-11-01,112
2004-11-08,119
2004-11-15,146
2004-11-22,131
2004-11-29,118
2004-12-06,138
2004-12-13,145
2004-12-20,115
2004-12-27,83
2005-01-03,118
2005-01-10,91
2005-01-17,108
2005-01-24,84
2005-01-31,83
2005-02-07,96
2005-02-14,82
2005-02-21,115
2005-02-28,94
2005-03-07,121
2005-03-14,111
2005-03-21,109
2005-03-28,110
2005-04-04,99
2005-04-11,96
2005-04-18,99
2005-04-25,99
2005-05-02,112
2005-05-09,115
2005-05-16,106
2005-05-23,118
2005-05-30,116
2005-06-06,110
2005-06-13,99
2005-06-20,123
2005-06-27,123
2005-07-04,138
2005-07-11,126
2005-07-18,130
2005-07-25,133
2005-08-01,117
2005-08-08,128
2005-08-15,106
2005-08-22,114
2005-08-29,134
2005-09-05,126
2005-09-12,122
2005-09-19,102
2005-09-26,107
2005-10-03,133
2005-10-10,116
2005-10-17,119
2005-10-24,124
2005-10-31,105
2005-11-07,124
2005-11-14,112
2005-11-21,102
2005-11-28,124
2005-12-05,113
2005-12-12,97
2005-12-19,107
2005-12-26,123
2006-01-02,128
2006-01-09,116
2006-01-16,103
2006-01-23,106
2006-01-30,108
2006-02-06,106
2006-02-13,98
2006-02-20,75
2006-02-27,91
2006-03-06,91
2006-03-13,81
2006-03-20,98
2006-03-27,117
2006-04-03,119
2006-04-10,136
2006-04-17,117
2006-04-24,111
2006-05-01,121
2006-05-08,104
2006-05-15,116
2006-05-22,107
2006-05-29,109
2006-06-05,102
2006-06-12,108
2006-06-19,114
2006-06-26,115
2006-07-03,119
2006-07-10,96
2006-07-17,116
2006-07-24,127
2006-07-31,131
2006-08-07,138
2006-08-14,129
2006-08-21,107
2006-08-28,121
2006-09-04,125
2006-09-11,135
2006-09-18,116
2006-09-25,130
2006-10-02,120
2006-10-09,131
2006-10-16,112
2006-10-23,112
2006-10-30,122
2006-11-06,117
2006-11-13,105
2006-11-20,101
2006-11-27,117
2006-12-04,96
2006-12-11,100
2006-12-18,111
2006-12-25,102
2007-01-01,145
2007-01-08,103
2007-01-15,100
2007-01-22,94
2007-01-29,85
2007-02-05,79
2007-02-12,78
2007-02-19,67
2007-02-26,83
2007-03-05,97
2007-03-12,93
2007-03-19,126
2007-03-26,104
2007-04-02,116
2007-04-09,103
2007-04-16,94
2007-04-23,106
2007-04-30,111
2007-05-07,115
2007-05-14,94
2007-05-21,99
2007-05-28,96
2007-06-04,104
2007-06-11,111
2007-06-18,125
2007-06-25,127
2007-07-02,113
2007-07-09,123
2007-07-16,135
2007-07-23,134
2007-07-30,130
2007-08-06,117
2007-08-13,100
2007-08-20,132
2007-08-27,93
2007-09-03,136
2007-09-10,108
2007-09-17,103
2007-09-24,120
2007-10-01,123
2007-10-08,103
2007-10-15,131
2007-10-22,121
2007-10-29,133
2007-11-05,107
2007-11-12,138
2007-11-19,116
2007-11-26,97
2007-12-03,109
2007-12-10,104
2007-12-17,108
2007-12-24,119
2007-12-31,93
2008-01-07,124
2008-01-14,119
2008-01-21,99
2008-01-28,83
2008-02-04,75
2008-02-11,98
2008-02-18,85
2008-02-25,88
2008-03-03,105
2008-03-10,73
2008-03-17,92
2008-03-24,99
2008-03-31,109
2008-04-07,101
2008-04-14,111
2008-04-21,114
2008-04-28,124
2008-05-05,102
2008-05-12,128
2008-05-19,114
2008-05-26,85
2008-06-02,120
2008-06-09,102
2008-06-16,131
2008-06-23,113
2008-06-30,137
2008-07-07,91
2008-07-14,104
2008-07-21,131
2008-07-28,127
2008-08-04,109
2008-08-11,128
2008-08-18,118
2008-08-25,127
2008-09-01,132
2008-09-08,118
2008-09-15,124
2008-09-22,120
2008-09-29,109
2008-10-06,128
2008-10-13,128
2008-10-20,114
2008-10-27,131
2008-11-03,116
2008-11-10,108
2008-11-17,106
2008-11-24,123
2008-12-01,107
2008-12-08,127
2008-12-15,130
2008-12-22,116
2008-12-29,99
2009-01-05,117
2009-01-12,85
2009-01-19,71
2009-01-26,107
2009-02-02,89
2009-02-09,117
2009-02-16,101
2009-02-23,85
2009-03-02,95
2009-03-09,94
2009-03-16,78
2009-03-23,98
2009-03-30,114
2009-04-06,113
2009-04-13,112
2009-04-20,103
2009-04-27,120
2009-05-04,123
2009-05-11,100
2009-05-18,121
2009-05-25,99
2009-06-01,128
2009-06-08,97
2009-06-15,104
2009-06-22,119
2009-06-29,118
2009-07-06,125
2009-07-13,93
2009-07-20,127
2009-07-27,134
2009-08-03,114
2009-08-10,112
2009-08-17,120
2009-08-24,97
2009-08-31,123
2009-09-07,111
2009-09-14,115
2009-09-21,72
2009-09-28,96
2009-10-05,110
2009-10-12,108
2009-10-19,92
2009-10-26,99
2009-11-02,101
2009-11-09,108
2009-11-16,106
2009-11-23,101
2009-11-30,101
2009-12-07,94
2009-12-14,124
2009-12-21,114
2009-12-28,63
2010-01-04,111
2010-01-11,107
2010-01-18,99
2010-01-25,79
2010-02-01,98
2010-02-08,77
2010-02-15,53
2010-02-22,99
2010-03-01,85
2010-03-08,75
2010-03-15,96
2010-03-22,110
2010-03-29,88
2010-04-05,89
2010-04-12,111
2010-04-19,74
2010-04-26,95
2010-05-03,80
2010-05-10,82
2010-05-17,100
2010-05-24,72
2010-05-31,83
2010-06-07,94
2010-06-14,76
2010-06-21,91
2010-06-28,85
2010-07-05,87
2010-07-12,84
2010-07-19,91
2010-07-26,86
2010-08-02,95
2010-08-09,96
2010-08-16,97
2010-08-23,94
2010-08-30,113
2010-09-06,92
2010-09-13,89
2010-09-20,92
2010-09-27,96
2010-10-04,100
2010-10-11,94
2010-10-18,83
2010-10-25,88
2010-11-01,96
2010-11-08,83
2010-11-15,81
2010-11-22,80
2010-11-29,81
2010-12-06,77
2010-12-13,76
2010-12-20,64
2010-12-27,78
2011-01-03,77
2011-01-10,70
2011-01-17,65
2011-01-24,74
2011-01-31,67
2011-02-07,55
2011-02-14,64
2011-02-21,83
2011-02-28,83
2011-03-07,87
2011-03-14,83
2011-03-21,89
2011-03-28,90
2011-04-04,86
2011-04-11,98
2011-04-18,92
2011-04-25,73
2011-05-02,99
2011-05-09,107
2011-05-16,95
2011-05-23,95
2011-05-30,83
2011-06-06,108
2011-06-13,111
2011-06-20,118
2011-06-27,116
2011-07-04,101
2011-07-11,111
2011-07-18,125
2011-07-25,86
2011-08-01,110
