Date,incidents
2001-01-01,94
2001-01-08,435
2001-01-15,436
2001-01-22,441
2001-01-29,434
2001-02-05,458
2001-02-12,430
2001-02-19,521
2001-02-26,499
2001-03-05,541
2001-03-12,507
2001-03-19,462
2001-03-26,580
2001-04-02,577
2001-04-09,563
2001-04-16,535
2001-04-23,533
2001-04-30,533
2001-05-07,549
2001-05-14,515
2001-05-21,555
2001-05-28,510
2001-06-04,556
2001-06-11,576
2001-06-18,533
2001-06-25,530
2001-07-02,503
2001-07-09,500
2001-07-16,565
2001-07-23,504
2001-07-30,499
2001-08-06,558
2001-08-13,610
2001-08-20,510
2001-08-27,576
2001-09-03,661
2001-09-10,601
2001-09-17,495
2001-09-24,523
2001-10-01,612
2001-10-08,565
2001-10-15,495
2001-10-22,539
2001-10-29,540
2001-11-05,585
2001-11-12,549
2001-11-19,534
2001-11-26,523
2001-12-03,566
2001-12-10,628
2001-12-17,596
2001-12-24,476
2001-12-31,449
2002-01-07,472
2002-01-14,536
2002-01-21,512
2002-01-28,615
2002-02-04,489
2002-02-11,481
2002-02-18,545
2002-02-25,580
2002-03-04,546
2002-03-11,653
2002-03-18,626
2002-03-25,587
2002-04-01,556
2002-04-08,558
2002-04-15,610
2002-04-22,579
2002-04-29,603
2002-05-06,565
2002-05-13,576
2002-05-20,554
2002-05-27,545
2002-06-03,678
2002-06-10,596
2002-06-17,592
2002-06-24,597
2002-07-01,648
2002-07-08,592
2002-07-15,712
2002-07-22,659
2002-07-29,621
2002-08-05,540
2002-08-12,565
2002-08-19,571
2002-08-26,555
2002-09-02,580
2002-09-09,609
2002-09-16,590
2002-09-23,662
2002-09-30,587
2002-10-07,626
2002-10-14,612
2002-10-21,617
2002-10-28,582
2002-11-04,623
2002-11-11,517
2002-11-18,595
2002-11-25,548
2002-12-02,457
2002-12-09,559
2002-12-16,571
2002-12-23,548
2002-12-30,397
2003-01-06,543
2003-01-13,494
2003-01-20,443
2003-01-27,530
2003-02-03,563
2003-02-10,438
2003-02-17,513
2003-02-24,498
2003-03-03,561
2003-03-10,463
2003-03-17,578
2003-03-24,518
2003-03-31,546
2003-04-07,500
2003-04-14,548
2003-04-21,605
2003-04-28,578
2003-05-05,598
2003-05-12,543
2003-05-19,601
2003-05-26,602
2003-06-02,571
2003-06-09,573
2003-06-16,527
2003-06-23,552
2003-06-30,578
2003-07-07,529
2003-07-14,582
2003-07-21,650
2003-07-28,586
2003-08-04,702
2003-08-11,684
2003-08-18,674
2003-08-25,786
2003-09-01,756
2003-09-08,839
2003-09-15,941
2003-09-22,552
2003-09-29,606
2003-10-06,754
2003-10-13,617
2003-10-20,497
2003-10-27,500
2003-11-03,608
2003-11-10,548
2003-11-17,530
2003-11-24,527
2003-12-01,552
2003-12-08,495
2003-12-15,465
2003-12-22,443
2003-12-29,465
2004-01-05,506
2004-01-12,448
2004-01-19,472
2004-01-26,525
2004-02-02,470
2004-02-09,593
2004-02-16,425
2004-02-23,518
2004-03-01,486
2004-03-08,528
2004-03-15,513
2004-03-22,566
2004-03-29,625
2004-04-05,492
2004-04-12,670
2004-04-19,616
2004-04-26,560
2004-05-03,529
