Date,incidents
2001-01-01,111
2001-01-08,517
2001-01-15,559
2001-01-22,569
2001-01-29,528
2001-02-05,570
2001-02-12,543
2001-02-19,496
2001-02-26,560
2001-03-05,563
2001-03-12,576
2001-03-19,609
2001-03-26,633
2001-04-02,597
2001-04-09,561
2001-04-16,599
2001-04-23,648
2001-04-30,618
2001-05-07,635
2001-05-14,566
2001-05-21,602
2001-05-28,532
2001-06-04,585
2001-06-11,625
2001-06-18,595
2001-06-25,616
2001-07-02,617
2001-07-09,632
2001-07-16,657
2001-07-23,626
2001-07-30,634
2001-08-06,673
2001-08-13,609
2001-08-20,607
2001-08-27,606
2001-09-03,662
2001-09-10,647
2001-09-17,592
2001-09-24,640
2001-10-01,636
2001-10-08,647
2001-10-15,666
2001-10-22,646
2001-10-29,628
2001-11-05,712
2001-11-12,646
2001-11-19,618
2001-11-26,640
2001-12-03,625
2001-12-10,588
2001-12-17,544
2001-12-24,496
2001-12-31,453
2002-01-07,530
2002-01-14,616
2002-01-21,481
2002-01-28,541
2002-02-04,526
2002-02-11,543
2002-02-18,493
2002-02-25,514
2002-03-04,473
2002-03-11,554
2002-03-18,527
2002-03-25,567
2002-04-01,572
2002-04-08,616
2002-04-15,693
2002-04-22,540
2002-04-29,654
2002-05-06,608
2002-05-13,609
2002-05-20,603
2002-05-27,698
2002-06-03,741
2002-06-10,600
2002-06-17,690
2002-06-24,651
2002-07-01,674
2002-07-08,726
2002-07-15,703
2002-07-22,656
2002-07-29,700
2002-08-05,724
2002-08-12,702
2002-08-19,656
2002-08-26,654
2002-09-02,625
2002-09-09,670
2002-09-16,677
2002-09-23,645
2002-09-30,700
2002-10-07,680
2002-10-14,589
2002-10-21,619
2002-10-28,615
2002-11-04,650
2002-11-11,620
2002-11-18,581
2002-11-25,547
2002-12-02,545
2002-12-09,597
2002-12-16,674
2002-12-23,620
2002-12-30,527
2003-01-06,662
2003-01-13,604
2003-01-20,525
2003-01-27,498
2003-02-03,593
2003-02-10,526
2003-02-17,518
2003-02-24,618
2003-03-03,591
2003-03-10,512
2003-03-17,550
2003-03-24,592
2003-03-31,641
2003-04-07,606
2003-04-14,582
2003-04-21,616
2003-04-28,644
2003-05-05,623
2003-05-12,649
2003-05-19,692
2003-05-26,676
2003-06-02,645
2003-06-09,646
2003-06-16,709
2003-06-23,624
2003-06-30,600
2003-07-07,613
2003-07-14,668
2003-07-21,693
2003-07-28,701
2003-08-04,618
2003-08-11,665
2003-08-18,682
2003-08-25,601
2003-09-01,591
2003-09-08,590
2003-09-15,626
2003-09-22,626
2003-09-29,567
2003-10-06,589
2003-10-13,618
2003-10-20,608
2003-10-27,695
2003-11-03,658
2003-11-10,586
2003-11-17,588
2003-11-24,603
2003-12-01,590
2003-12-08,572
2003-12-15,520
2003-12-22,515
2003-12-29,512
2004-01-05,546
2004-01-12,502
2004-01-19,538
2004-01-26,506
2004-02-02,503
2004-02-09,530
2004-02-16,541
2004-02-23,570
2004-03-01,576
2004-03-08,601
2004-03-15,545
2004-03-22,553
2004-03-29,600
2004-04-05,608
2004-04-12,557
2004-04-19,600
2004-04-26,591
2004-05-03,602
2004-05-10,620
2004-05-17,675
2004-05-24,672
2004-05-31,642
2004-06-07,680
2004-06-14,697
2004-06-21,646
2004-06-28,671
2004-07-05,654
2004-07-12,653
2004-07-19,674
2004-07-26,564
2004-08-02,602
2004-08-09,613
2004-08-16,639
2004-08-23,640
2004-08-30,649
2004-09-06,638
2004-09-13,607
2004-09-20,640
2004-09-27,614
2004-10-04,600
2004-10-11,607
2004-10-18,594
2004-10-25,664
2004-11-01,642
2004-11-08,587
2004-11-15,622
2004-11-22,658
2004-11-29,531
2004-12-06,614
2004-12-13,632
2004-12-20,524
2004-12-27,428
2005-01-03,562
2005-01-10,519
2005-01-17,529
2005-01-24,496
2005-01-31,578
2005-02-07,599
2005-02-14,581
2005-02-21,542
2005-02-28,481
2005-03-07,558
2005-03-14,541
2005-03-21,598
2005-03-28,554
2005-04-04,566
2005-04-11,608
2005-04-18,651
2005-04-25,602
2005-05-02,604
2005-05-09,637
2005-05-16,637
2005-05-23,583
2005-05-30,607
2005-06-06,594
2005-06-13,627
2005-06-20,646
2005-06-27,646
2005-07-04,663
2005-07-11,694
2005-07-18,602
2005-07-25,666
2005-08-01,579
2005-08-08,650
2005-08-15,589
2005-08-22,597
2005-08-29,633
2005-09-05,603
2005-09-12,579
2005-09-19,637
2005-09-26,691
2005-10-03,654
2005-10-10,640
2005-10-17,653
2005-10-24,635
2005-10-31,694
2005-11-07,662
2005-11-14,613
2005-11-21,618
2005-11-28,613
2005-12-05,594
2005-12-12,527
2005-12-19,528
2005-12-26,526
2006-01-02,610
2006-01-09,597
2006-01-16,633
2006-01-23,581
2006-01-30,571
2006-02-06,630
2006-02-13,564
2006-02-20,486
2006-02-27,605
2006-03-06,575
2006-03-13,546
2006-03-20,593
2006-03-27,609
2006-04-03,673
2006-04-10,681
2006-04-17,635
2006-04-24,599
2006-05-01,610
2006-05-08,612
2006-05-15,600
2006-05-22,628
2006-05-29,667
2006-06-05,624
2006-06-12,587
2006-06-19,637
2006-06-26,641
2006-07-03,688
2006-07-10,673
2006-07-17,637
2006-07-24,628
2006-07-31,596
2006-08-07,703
2006-08-14,634
2006-08-21,623
2006-08-28,632
2006-09-04,665
2006-09-11,642
2006-09-18,625
2006-09-25,652
2006-10-02,618
2006-10-09,667
2006-10-16,624
2006-10-23,624
2006-10-30,635
2006-11-06,651
2006-11-13,602
