order,trend,aic,validation_mae,validation_rmse
"[2, 1, 0]",n,13271.24799106019,20.8969412348298,27.4140559776438
"[3, 1, 0]",n,13237.395731827844,20.91644053441064,27.620763864061562
"[2, 1, 0]",t,13273.247546788494,20.943641353991747,27.461124988951585
"[3, 1, 0]",t,13239.38802303878,21.081238464655687,27.804330700782778
"[4, 1, 0]",n,13234.641342408337,21.117531210279736,27.86872864678192
"[1, 1, 0]",n,13356.508804482539,21.240470055694434,26.703547711587753
"[1, 1, 0]",t,13358.505810056624,21.260781381170357,26.578571050307776
"[4, 1, 0]",t,13236.628093719892,21.321519075199532,28.103077328278683
"[2, 0, 0]",t,13372.082674264173,21.61778228887815,25.15185060669631
"[3, 1, 1]",n,13227.611533549943,21.788444776449804,29.03033183960549
"[0, 1, 1]",n,13228.481865352402,21.833973536853136,28.9814025915594
"[2, 1, 1]",n,13225.822131276927,21.887886474285143,29.177777709356395
"[1, 1, 2]",n,13226.795877923403,22.081591994934723,29.435281723931425
"[3, 1, 1]",t,13229.576097322759,22.086029485496713,29.427651411367812
"[2, 1, 2]",n,13229.359755764464,22.097742327059407,29.443018776032588
"[2, 1, 2]",t,13229.663754422156,22.106755235920733,29.465633286490984
"[0, 1, 1]",t,13230.449761782758,22.12831945505266,29.36835119272056
"[0, 1, 2]",n,13225.47541854946,22.15522866802765,29.525691083723128
"[1, 1, 1]",n,13226.076804557295,22.15840245978212,29.513229906321605
"[2, 1, 1]",t,13227.784233384427,22.195689257025723,29.594232984138483
"[0, 1, 0]",n,13550.903662412507,22.333333333333332,26.60513734851473
"[0, 1, 0]",t,13552.890968731643,22.376964399383635,26.36732337470053
"[1, 1, 2]",t,13228.752030547774,22.410159173585782,29.889207791855956
"[1, 1, 1]",t,13228.030981002366,22.486527274690513,29.968355268257586
"[0, 1, 2]",t,13227.429212302937,22.48873127216768,29.989790470745845
"[2, 0, 0]",n,13371.53185438631,22.603101033084187,28.768683829846015
"[1, 0, 0]",t,13563.43797860383,23.044909123130306,26.7641893975613
"[2, 0, 0]",c,13360.823965084648,23.577030134038278,27.64459297305017
"[1, 0, 0]",n,13564.396825876624,24.594795640646552,30.557383721748646
"[2, 0, 0]",ct,13326.77783748794,35.6295268111626,47.47298591949063
"[1, 0, 0]",c,13541.02770582576,38.39877029368332,41.689035180734976
"[1, 0, 0]",ct,13459.143633763026,44.81153737587715,56.94608124300063
