fold,train_start,train_end,test_start,test_end,MAE,RMSE,model
0,2001-01-01,2013-09-09,2013-09-16,2013-11-04,27.652676034640407,31.013124198892278,AR(3)
1,2001-01-01,2013-11-04,2013-11-11,2013-12-30,37.10421049724733,44.50465927928898,AR(3)
2,2001-01-01,2013-12-30,2014-01-06,2014-02-24,23.63930869472123,28.403097812252145,AR(3)
3,2001-01-01,2014-02-24,2014-03-03,2014-04-21,28.640555697725866,35.25309550522447,AR(3)
4,2001-01-01,2014-04-21,2014-04-28,2014-06-16,16.673138036110394,19.747148573991115,AR(3)
5,2001-01-01,2014-06-16,2014-06-23,2014-08-11,32.72822351697291,39.292034333741626,AR(3)
6,2001-01-01,2014-08-11,2014-08-18,2014-10-06,19.254418999865187,26.091981707600965,AR(3)
7,2001-01-01,2014-10-06,2014-10-13,2014-12-01,36.02967676115154,44.870736931515,AR(3)
8,2001-01-01,2014-12-01,2014-12-08,2015-01-26,18.118319193637745,21.970484644173606,AR(3)
9,2001-01-01,2015-01-26,2015-02-02,2015-03-23,41.182988602758954,48.44474955761192,AR(3)
10,2001-01-01,2015-03-23,2015-03-30,2015-05-18,25.833326485231524,33.40176151033816,AR(3)
11,2001-01-01,2015-05-18,2015-05-25,2015-07-13,18.290050908372564,27.572103174776373,AR(3)
12,2001-01-01,2015-07-13,2015-07-20,2015-09-07,22.931631251991234,30.368344526672743,AR(3)
13,2001-01-01,2015-09-07,2015-09-14,2015-11-02,19.790906907002153,27.692473002769116,AR(3)
14,2001-01-01,2015-11-02,2015-11-09,2015-12-28,40.60858980853043,49.55135675785078,AR(3)
15,2001-01-01,2015-12-28,2016-01-04,2016-02-22,28.4663924496668,33.51308003806255,AR(3)
16,2001-01-01,2016-02-22,2016-02-29,2016-04-18,25.488985972875398,30.73556263544895,AR(3)
17,2001-01-01,2016-04-18,2016-04-25,2016-06-13,22.004118236054133,29.13722511837606,AR(3)
18,2001-01-01,2016-06-13,2016-06-20,2016-08-08,22.581339075491492,26.481578963628095,AR(3)
19,2001-01-01,2016-08-08,2016-08-15,2016-10-03,21.662493439474147,31.17506102646906,AR(3)
20,2001-01-01,2016-10-03,2016-10-10,2016-11-28,29.98178434348329,34.4243189136472,AR(3)
21,2001-01-01,2016-11-28,2016-12-05,2017-01-23,33.88212604396087,42.66677788222642,AR(3)
22,2001-01-01,2017-01-23,2017-01-30,2017-03-20,18.521832492793855,22.530245250507132,AR(3)
23,2001-01-01,2017-03-20,2017-03-27,2017-05-15,27.530123105850002,31.920562023258586,AR(3)
24,2001-01-01,2017-05-15,2017-05-22,2017-07-10,30.696431583998752,37.623013824388664,AR(3)
25,2001-01-01,2017-07-10,2017-07-17,2017-09-04,23.65234076978969,28.89013310610929,AR(3)
26,2001-01-01,2017-09-04,2017-09-11,2017-10-30,33.55084069404745,39.6647224452934,AR(3)
27,2001-01-01,2017-10-30,2017-11-06,2017-12-25,34.22107184735416,38.14616982665926,AR(3)
28,2001-01-01,2017-12-25,2018-01-01,2018-02-19,18.96367714167276,27.24309357584897,AR(3)
29,2001-01-01,2018-02-19,2018-02-26,2018-04-16,29.50408389461662,34.89485809616828,AR(3)
30,2001-01-01,2018-04-16,2018-04-23,2018-06-11,64.03407979014956,67.48457843978146,AR(3)
31,2001-01-01,2018-06-11,2018-06-18,2018-08-06,32.66406025021269,38.37841978810476,AR(3)
32,2001-01-01,2018-08-06,2018-08-13,2018-10-01,42.93669716956868,47.77766450145247,AR(3)
33,2001-01-01,2018-10-01,2018-10-08,2018-11-26,33.80713901376171,37.101965939916944,AR(3)
34,2001-01-01,2018-11-26,2018-12-03,2019-01-21,25.245900107413362,42.05075189243969,AR(3)
35,2001-01-01,2019-01-21,2019-01-28,2019-03-18,28.693459907747986,31.643421511137998,AR(3)
36,2001-01-01,2019-03-18,2019-03-25,2019-05-13,54.44241096183811,61.9644064032537,AR(3)
37,2001-01-01,2019-05-13,2019-05-20,2019-07-08,40.83282077614811,46.045626540290066,AR(3)
38,2001-01-01,2019-07-08,2019-07-15,2019-09-02,53.717172403029416,59.19575894552621,AR(3)
39,2001-01-01,2019-09-02,2019-09-09,2019-10-28,26.013395191364957,27.35450753156432,AR(3)
40,2001-01-01,2019-10-28,2019-11-04,2019-12-23,17.26268819618293,21.100121095613215,AR(3)
41,2001-01-01,2019-12-23,2019-12-30,2020-02-17,26.526392829490952,32.24618327745084,AR(3)
42,2001-01-01,2020-02-17,2020-02-24,2020-04-13,66.02778979909522,81.5133781828637,AR(3)
43,2001-01-01,2020-04-13,2020-04-20,2020-06-08,40.525666128858646,67.09081224448799,AR(3)
44,2001-01-01,2020-06-08,2020-06-15,2020-08-03,16.812494779990274,20.55511154126273,AR(3)
45,2001-01-01,2020-08-03,2020-08-10,2020-09-28,22.580193969873584,24.777572175491017,AR(3)
46,2001-01-01,2020-09-28,2020-10-05,2020-11-23,23.833351474291085,28.653536839230224,AR(3)
47,2001-01-01,2020-11-23,2020-11-30,2021-01-18,38.42202801473876,41.733806026843375,AR(3)
48,2001-01-01,2021-01-18,2021-01-25,2021-03-15,27.81664940734482,31.56704818451192,AR(3)
