fold,train_start,train_end,test_start,test_end,MAE,RMSE,model
0,2001-01-01,2013-09-09,2013-09-16,2013-11-04,72.26590026829368,74.2586771034183,AR(3)
1,2001-01-01,2013-11-04,2013-11-11,2013-12-30,49.97755183035956,56.42798330508059,AR(3)
2,2001-01-01,2013-12-30,2014-01-06,2014-02-24,68.31038297216247,74.77604144261932,AR(3)
3,2001-01-01,2014-02-24,2014-03-03,2014-04-21,19.585491429827215,27.328502866942316,AR(3)
4,2001-01-01,2014-04-21,2014-04-28,2014-06-16,19.274306625046343,20.928268212216462,AR(3)
5,2001-01-01,2014-06-16,2014-06-23,2014-08-11,21.345336831723685,23.48609234612927,AR(3)
6,2001-01-01,2014-08-11,2014-08-18,2014-10-06,27.022674985941947,29.625035182546696,AR(3)
7,2001-01-01,2014-10-06,2014-10-13,2014-12-01,35.1589753281687,38.458626593065866,AR(3)
8,2001-01-01,2014-12-01,2014-12-08,2015-01-26,50.228694821764655,56.37317151326913,AR(3)
9,2001-01-01,2015-01-26,2015-02-02,2015-03-23,48.31524930590899,54.58841196040691,AR(3)
10,2001-01-01,2015-03-23,2015-03-30,2015-05-18,18.917825619078904,23.843798615519425,AR(3)
11,2001-01-01,2015-05-18,2015-05-25,2015-07-13,27.684063195022063,31.66817011035924,AR(3)
12,2001-01-01,2015-07-13,2015-07-20,2015-09-07,11.700533563659711,15.223967971428372,AR(3)
13,2001-01-01,2015-09-07,2015-09-14,2015-11-02,28.56174319792585,32.16296772488359,AR(3)
14,2001-01-01,2015-11-02,2015-11-09,2015-12-28,46.712386184834315,51.06622526698304,AR(3)
15,2001-01-01,2015-12-28,2016-01-04,2016-02-22,23.163570728977504,32.39381544600988,AR(3)
16,2001-01-01,2016-02-22,2016-02-29,2016-04-18,18.689261250745716,25.105290351171977,AR(3)
17,2001-01-01,2016-04-18,2016-04-25,2016-06-13,22.25966000562716,26.666378554560595,AR(3)
18,2001-01-01,2016-06-13,2016-06-20,2016-08-08,27.627660766461936,30.2455634550337,AR(3)
19,2001-01-01,2016-08-08,2016-08-15,2016-10-03,19.238111996281482,22.663801846534056,AR(3)
20,2001-01-01,2016-10-03,2016-10-10,2016-11-28,22.751898247475403,24.521690779022943,AR(3)
21,2001-01-01,2016-11-28,2016-12-05,2017-01-23,19.7141896493806,26.876352528680137,AR(3)
22,2001-01-01,2017-01-23,2017-01-30,2017-03-20,31.359348788874712,33.200853007376935,AR(3)
23,2001-01-01,2017-03-20,2017-03-27,2017-05-15,17.287615418094504,19.202172701355483,AR(3)
24,2001-01-01,2017-05-15,2017-05-22,2017-07-10,30.2717216212734,34.61663017562838,AR(3)
25,2001-01-01,2017-07-10,2017-07-17,2017-09-04,24.83120035977145,28.5643557468658,AR(3)
26,2001-01-01,2017-09-04,2017-09-11,2017-10-30,26.491808913844125,29.346336793793217,AR(3)
27,2001-01-01,2017-10-30,2017-11-06,2017-12-25,30.382154754786896,35.30846887324243,AR(3)
28,2001-01-01,2017-12-25,2018-01-01,2018-02-19,35.950153356124844,40.90064473428455,AR(3)
29,2001-01-01,2018-02-19,2018-02-26,2018-04-16,23.20470146441226,27.440870740417072,AR(3)
30,2001-01-01,2018-04-16,2018-04-23,2018-06-11,36.00604334116591,44.44091759909153,AR(3)
31,2001-01-01,2018-06-11,2018-06-18,2018-08-06,18.815916095885576,23.165804776073355,AR(3)
32,2001-01-01,2018-08-06,2018-08-13,2018-10-01,9.12247323679776,13.00767128213733,AR(3)
33,2001-01-01,2018-10-01,2018-10-08,2018-11-26,28.41316036935293,31.961856798527904,AR(3)
34,2001-01-01,2018-11-26,2018-12-03,2019-01-21,26.43055139345502,30.46454374959653,AR(3)
35,2001-01-01,2019-01-21,2019-01-28,2019-03-18,20.25269969046473,25.378982730246154,AR(3)
36,2001-01-01,2019-03-18,2019-03-25,2019-05-13,17.584282153324764,25.28057768839666,AR(3)
37,2001-01-01,2019-05-13,2019-05-20,2019-07-08,18.641979109410343,24.690912209369163,AR(3)
38,2001-01-01,2019-07-08,2019-07-15,2019-09-02,45.7087646904516,49.27355590289213,AR(3)
39,2001-01-01,2019-09-02,2019-09-09,2019-10-28,21.591770907761408,24.79502861584589,AR(3)
40,2001-01-01,2019-10-28,2019-11-04,2019-12-23,12.78736631191218,15.997085084030248,AR(3)
41,2001-01-01,2019-12-23,2019-12-30,2020-02-17,23.428608040145782,27.337954723835214,AR(3)
42,2001-01-01,2020-02-17,2020-02-24,2020-04-13,34.3744320153252,47.253881266471836,AR(3)
43,2001-01-01,2020-04-13,2020-04-20,2020-06-08,38.01208699496479,61.87509946368003,AR(3)
44,2001-01-01,2020-06-08,2020-06-15,2020-08-03,21.676359297231272,25.912367186220035,AR(3)
45,2001-01-01,2020-08-03,2020-08-10,2020-09-28,14.220473039436037,17.541510955636344,AR(3)
46,2001-01-01,2020-09-28,2020-10-05,2020-11-23,18.340236150647208,25.152635642806853,AR(3)
47,2001-01-01,2020-11-23,2020-11-30,2021-01-18,14.839347738936041,17.22270199787489,AR(3)
48,2001-01-01,2021-01-18,2021-01-25,2021-03-15,26.328789683472305,29.158265578582103,AR(3)
49,2001-01-01,2021-03-15,2021-03-22,2021-05-10,18.45799309473027,22.326288333763333,AR(3)
50,2001-01-01,2021-05-10,2021-05-17,2021-07-05,29.14644501804496,32.124681765920826,AR(3)
51,2001-01-01,2021-07-05,2021-07-12,2021-08-30,17.4216151224264,21.746916059583313,AR(3)
52,2001-01-01,2021-08-30,2021-09-06,2021-10-25,20.481913884118327,24.837313846154224,AR(3)
53,2001-01-01,2021-10-25,2021-11-01,2021-12-20,17.880543500417247,21.798718283506318,AR(3)
54,2001-01-01,2021-12-20,2021-12-27,2022-02-14,34.654650938849755,38.76858809748454,AR(3)
55,2001-01-01,2022-02-14,2022-02-21,2022-04-11,16.277871046050432,20.279214400706163,AR(3)
56,2001-01-01,2022-04-11,2022-04-18,2022-06-06,47.12246772173739,50.00896250862414,AR(3)
57,2001-01-01,2022-06-06,2022-06-13,2022-08-01,28.439378985693796,35.065489541504434,AR(3)
58,2001-01-01,2022-08-01,2022-08-08,2022-09-26,43.31619006873829,49.34845628419634,AR(3)
59,2001-01-01,2022-09-26,2022-10-03,2022-11-21,42.51514761713035,54.709226384996924,AR(3)
60,2001-01-01,2022-11-21,2022-11-28,2023-01-16,39.1093960262682,44.04617513705313,AR(3)
61,2001-01-01,2023-01-16,2023-01-23,2023-03-13,32.98628445462536,37.52906344869597,AR(3)
62,2001-01-01,2023-03-13,2023-03-20,2023-05-08,39.251924689210234,46.320703217370784,AR(3)
63,2001-01-01,2023-05-08,2023-05-15,2023-07-03,46.41982826929354,51.61834510545576,AR(3)
64,2001-01-01,2023-07-03,2023-07-10,2023-08-28,41.02160088594524,47.132103032895365,AR(3)
65,2001-01-01,2023-08-28,2023-09-04,2023-10-23,53.11690632783417,55.12140780746602,AR(3)
66,2001-01-01,2023-10-23,2023-10-30,2023-12-18,23.200426785206623,25.13290990706415,AR(3)
67,2001-01-01,2023-12-18,2023-12-25,2024-02-12,35.655205405938275,40.002857873054374,AR(3)
68,2001-01-01,2024-02-12,2024-02-19,2024-04-08,48.277792885211916,53.868662160069846,AR(3)
69,2001-01-01,2024-04-08,2024-04-15,2024-06-03,47.00068260360764,55.842211447357045,AR(3)
70,2001-01-01,2024-06-03,2024-06-10,2024-07-29,45.372570714542,54.598828792344925,AR(3)
71,2001-01-01,2024-07-29,2024-08-05,2024-09-23,49.96529944034895,63.316886626275206,AR(3)
72,2001-01-01,2024-09-23,2024-09-30,2024-11-18,33.810981143293965,38.62114926380736,AR(3)
73,2001-01-01,2024-11-18,2024-11-25,2025-01-13,28.92704775178497,33.03849215083277,AR(3)
74,2001-01-01,2025-01-13,2025-01-20,2025-03-10,23.96249301696446,28.50122740493845,AR(3)
75,2001-01-01,2025-03-10,2025-03-17,2025-05-05,45.93187871140978,47.703074433864124,AR(3)
76,2001-01-01,2025-05-05,2025-05-12,2025-06-30,17.93440618152156,20.986854315468026,AR(3)
77,2001-01-01,2025-06-30,2025-07-07,2025-08-25,42.17772708216114,47.032325151428495,AR(3)
78,2001-01-01,2025-08-25,2025-09-01,2025-10-20,17.704182703174432,23.277175694812325,AR(3)
79,2001-01-01,2025-10-20,2025-10-27,2025-12-15,23.124917921892163,26.644647378938267,AR(3)
80,2001-01-01,2025-12-15,2025-12-22,2026-02-09,16.345371544330266,20.397626501164574,AR(3)
81,2001-01-01,2026-02-09,2026-02-16,2026-04-06,29.757744671076143,31.655573624949124,AR(3)
82,2001-01-01,2026-04-06,2026-04-13,2026-06-01,40.51899178235967,48.97065266008327,AR(3)
0,2001-01-01,2013-09-09,2013-09-16,2013-11-04,67.7961606403865,69.67541803659095,"ARIMA[2, 1, 0]"
1,2001-01-01,2013-11-04,2013-11-11,2013-12-30,25.540482650302337,31.32587745391271,"ARIMA[2, 1, 0]"
2,2001-01-01,2013-12-30,2014-01-06,2014-02-24,36.08540274875808,39.792932129707125,"ARIMA[2, 1, 0]"
3,2001-01-01,2014-02-24,2014-03-03,2014-04-21,57.910607556269824,64.36477913939952,"ARIMA[2, 1, 0]"
4,2001-01-01,2014-04-21,2014-04-28,2014-06-16,8.342196169252695,11.81854526110162,"ARIMA[2, 1, 0]"
5,2001-01-01,2014-06-16,2014-06-23,2014-08-11,12.34885885378565,14.98641253112557,"ARIMA[2, 1, 0]"
6,2001-01-01,2014-08-11,2014-08-18,2014-10-06,19.866923151772845,25.146294328972942,"ARIMA[2, 1, 0]"
7,2001-01-01,2014-10-06,2014-10-13,2014-12-01,28.723357906545104,32.438875756359835,"ARIMA[2, 1, 0]"
8,2001-01-01,2014-12-01,2014-12-08,2015-01-26,34.092045260979056,42.50905121390766,"ARIMA[2, 1, 0]"
9,2001-01-01,2015-01-26,2015-02-02,2015-03-23,28.13252520030788,36.81926566126932,"ARIMA[2, 1, 0]"
10,2001-01-01,2015-03-23,2015-03-30,2015-05-18,16.944635824410163,31.014850180467093,"ARIMA[2, 1, 0]"
11,2001-01-01,2015-05-18,2015-05-25,2015-07-13,26.70470132396418,30.236761154632845,"ARIMA[2, 1, 0]"
12,2001-01-01,2015-07-13,2015-07-20,2015-09-07,17.508294210012515,19.401712564571856,"ARIMA[2, 1, 0]"
13,2001-01-01,2015-09-07,2015-09-14,2015-11-02,26.49245377442965,29.516992584187633,"ARIMA[2, 1, 0]"
14,2001-01-01,2015-11-02,2015-11-09,2015-12-28,47.095766175633344,51.462739230370595,"ARIMA[2, 1, 0]"
15,2001-01-01,2015-12-28,2016-01-04,2016-02-22,15.483538778788258,19.874057563059623,"ARIMA[2, 1, 0]"
16,2001-01-01,2016-02-22,2016-02-29,2016-04-18,34.84039818440441,42.10429786999689,"ARIMA[2, 1, 0]"
17,2001-01-01,2016-04-18,2016-04-25,2016-06-13,32.06265336539792,36.11404523176628,"ARIMA[2, 1, 0]"
18,2001-01-01,2016-06-13,2016-06-20,2016-08-08,26.645845575951896,29.18730777260365,"ARIMA[2, 1, 0]"
19,2001-01-01,2016-08-08,2016-08-15,2016-10-03,23.854720143599117,30.06057672426365,"ARIMA[2, 1, 0]"
20,2001-01-01,2016-10-03,2016-10-10,2016-11-28,22.132331677367866,24.03968231935718,"ARIMA[2, 1, 0]"
21,2001-01-01,2016-11-28,2016-12-05,2017-01-23,22.280025381024807,27.521706335813775,"ARIMA[2, 1, 0]"
22,2001-01-01,2017-01-23,2017-01-30,2017-03-20,30.84854514549069,32.86072076461217,"ARIMA[2, 1, 0]"
23,2001-01-01,2017-03-20,2017-03-27,2017-05-15,15.711966214630564,19.45154164629,"ARIMA[2, 1, 0]"
24,2001-01-01,2017-05-15,2017-05-22,2017-07-10,37.56149696906147,41.77412626182016,"ARIMA[2, 1, 0]"
25,2001-01-01,2017-07-10,2017-07-17,2017-09-04,28.377488423466957,31.63054926481382,"ARIMA[2, 1, 0]"
26,2001-01-01,2017-09-04,2017-09-11,2017-10-30,26.58970541562431,29.37602407683809,"ARIMA[2, 1, 0]"
27,2001-01-01,2017-10-30,2017-11-06,2017-12-25,39.119031613472345,42.73336880590379,"ARIMA[2, 1, 0]"
28,2001-01-01,2017-12-25,2018-01-01,2018-02-19,33.739868342573274,38.83792453701768,"ARIMA[2, 1, 0]"
29,2001-01-01,2018-02-19,2018-02-26,2018-04-16,29.772952131313637,34.18069988815381,"ARIMA[2, 1, 0]"
30,2001-01-01,2018-04-16,2018-04-23,2018-06-11,36.06643409967172,44.31133943861368,"ARIMA[2, 1, 0]"
31,2001-01-01,2018-06-11,2018-06-18,2018-08-06,11.003255449408627,11.6935828620445,"ARIMA[2, 1, 0]"
32,2001-01-01,2018-08-06,2018-08-13,2018-10-01,27.39838236869206,29.76949026875145,"ARIMA[2, 1, 0]"
33,2001-01-01,2018-10-01,2018-10-08,2018-11-26,32.70521428736443,37.166250513200325,"ARIMA[2, 1, 0]"
34,2001-01-01,2018-11-26,2018-12-03,2019-01-21,27.335034012917973,31.560907383155133,"ARIMA[2, 1, 0]"
35,2001-01-01,2019-01-21,2019-01-28,2019-03-18,20.718748660916646,25.757237162213123,"ARIMA[2, 1, 0]"
36,2001-01-01,2019-03-18,2019-03-25,2019-05-13,20.28079012404075,29.053830125240147,"ARIMA[2, 1, 0]"
37,2001-01-01,2019-05-13,2019-05-20,2019-07-08,13.245113689837623,20.15233477753288,"ARIMA[2, 1, 0]"
38,2001-01-01,2019-07-08,2019-07-15,2019-09-02,35.05938448235439,38.46512526443365,"ARIMA[2, 1, 0]"
39,2001-01-01,2019-09-02,2019-09-09,2019-10-28,49.934478112365035,51.465889276574956,"ARIMA[2, 1, 0]"
40,2001-01-01,2019-10-28,2019-11-04,2019-12-23,17.536033948779433,19.05780177156684,"ARIMA[2, 1, 0]"
41,2001-01-01,2019-12-23,2019-12-30,2020-02-17,26.672204335466297,29.427272812958797,"ARIMA[2, 1, 0]"
42,2001-01-01,2020-02-17,2020-02-24,2020-04-13,34.2785450565623,46.57462677018348,"ARIMA[2, 1, 0]"
43,2001-01-01,2020-04-13,2020-04-20,2020-06-08,51.34609043024095,77.82655750641747,"ARIMA[2, 1, 0]"
44,2001-01-01,2020-06-08,2020-06-15,2020-08-03,29.628634950431966,31.004816125299776,"ARIMA[2, 1, 0]"
45,2001-01-01,2020-08-03,2020-08-10,2020-09-28,15.927723741931104,18.429731463582502,"ARIMA[2, 1, 0]"
