Gender,Ever_Married,Age,Graduated,Profession,Spending_Score,Family_Size,Var_1,Work_Experience_Cleaned
Female,No,32,Yes,Artist,Low,1.0,Cat_6,9.0
Male,Yes,72,Yes,Entertainment,Average,2.0,Cat_6,
Female,No,33,Yes,Entertainment,Low,4.0,Cat_6,1.0
Female,Yes,48,Yes,Artist,Average,6.0,Cat_6,
Female,Yes,28,No,Doctor,Low,1.0,Cat_7,9.0
Female,Yes,45,Yes,Artist,Low,3.0,Cat_6,3.0
Male,No,43,No,Artist,Low,1.0,Cat_3,
Male,No,28,Yes,Doctor,Low,3.0,Cat_6,1.0
Male,No,38,Yes,Doctor,Low,1.0,Cat_2,4.0
Female,Yes,33,No,Engineer,Average,5.0,Cat_4,7.0
Female,Yes,25,Yes,Healthcare,Low,2.0,Cat_6,
Male,No,35,Yes,Entertainment,Low,2.0,Cat_4,13.0
Female,Yes,83,Yes,Lawyer,Low,1.0,Cat_6,1.0
Male,No,41,Yes,Doctor,Low,1.0,Cat_6,
Male,Yes,50,Yes,Entertainment,Low,4.0,Cat_6,
Male,No,31,Yes,Entertainment,Low,3.0,Cat_6,1.0
Male,Yes,28,Yes,Doctor,Low,9.0,Cat_4,
Female,Yes,50,Yes,Engineer,Low,,Cat_6,
Male,No,49,Yes,Artist,Low,1.0,Cat_6,
Female,Yes,30,Yes,Engineer,Average,5.0,Cat_4,8.0
Male,No,25,Yes,Artist,Low,4.0,Cat_6,1.0
Male,Yes,43,No,Artist,Average,2.0,Cat_6,
Female,Yes,47,Yes,Engineer,Low,4.0,Cat_6,
Male,No,30,Yes,Marketing,Low,4.0,Cat_6,12.0
Female,Yes,51,Yes,Artist,Low,1.0,Cat_6,
Male,No,43,Yes,Entertainment,Low,2.0,Cat_2,
Male,Yes,39,No,Executive,High,7.0,Cat_6,12.0
Male,Yes,42,Yes,Executive,Low,2.0,Cat_6,1.0
Female,Yes,51,Yes,Artist,Average,3.0,Cat_6,6.0
Male,Yes,49,Yes,Artist,Low,3.0,Cat_3,
Male,Yes,49,Yes,Entertainment,Average,5.0,Cat_4,
Male,No,33,No,Marketing,Low,4.0,Cat_3,
Male,Yes,61,No,Executive,High,2.0,Cat_1,
Male,Yes,84,No,Lawyer,High,2.0,Cat_6,
Male,No,38,Yes,Doctor,Low,1.0,Cat_2,8.0
Male,Yes,73,Yes,Artist,Average,,Cat_3,1.0
Male,Yes,40,No,Executive,Average,2.0,Cat_6,9.0
Female,No,50,Yes,Artist,Low,1.0,Cat_6,6.0
Male,Yes,70,Yes,Lawyer,High,3.0,Cat_6,1.0
Male,Yes,22,No,Doctor,Low,4.0,Cat_6,1.0
Female,No,41,Yes,Artist,Low,1.0,Cat_6,
Female,No,29,No,Marketing,Low,4.0,Cat_6,8.0
Male,Yes,43,No,Entertainment,Average,3.0,Cat_4,
Female,No,31,No,Healthcare,Low,4.0,Cat_6,8.0
Male,Yes,43,Yes,Artist,Average,2.0,Cat_6,5.0
Male,No,48,Yes,Entertainment,Low,3.0,Cat_6,
Male,No,22,No,Healthcare,Low,4.0,Cat_6,
Female,No,25,Yes,Marketing,Low,1.0,Cat_6,12.0
Female,No,21,No,Entertainment,Low,4.0,Cat_6,1.0
Male,Yes,55,Yes,Executive,High,3.0,Cat_6,2.0
Male,No,37,Yes,Healthcare,Low,4.0,Cat_4,1.0
Female,No,40,Yes,Engineer,Low,2.0,Cat_4,9.0
Female,No,49,Yes,Artist,Low,3.0,Cat_2,
Female,No,39,Yes,,Low,,Cat_6,8.0
Male,No,31,No,Healthcare,Low,4.0,Cat_6,8.0
Male,Yes,36,No,Doctor,Average,2.0,Cat_7,
Male,Yes,37,No,Executive,High,6.0,Cat_6,
Female,Yes,80,Yes,Lawyer,High,2.0,Cat_6,
Female,Yes,26,No,Homemaker,Low,4.0,Cat_6,
Male,No,19,No,Healthcare,Low,4.0,Cat_4,0.0
Female,,18,No,Healthcare,Low,3.0,Cat_6,
Female,Yes,30,No,Homemaker,Low,3.0,Cat_3,9.0
Female,Yes,50,,Artist,Average,3.0,Cat_2,
Female,Yes,80,No,Lawyer,High,2.0,Cat_6,1.0
Female,No,27,No,Engineer,Low,2.0,Cat_3,
Female,Yes,57,Yes,Artist,High,2.0,Cat_6,
Female,Yes,29,No,Engineer,Average,2.0,Cat_3,5.0
Male,Yes,33,No,Doctor,Average,5.0,Cat_6,
Male,Yes,26,Yes,Executive,Low,3.0,Cat_6,
Female,Yes,41,Yes,Engineer,Average,3.0,Cat_6,1.0
Male,Yes,89,Yes,Lawyer,High,2.0,Cat_6,
Male,No,20,No,Healthcare,Low,4.0,Cat_6,0.0
Female,Yes,50,Yes,Engineer,Average,2.0,Cat_6,
Female,No,37,Yes,Artist,Low,2.0,Cat_6,12.0
Female,No,31,Yes,Healthcare,Low,4.0,Cat_4,1.0
Female,No,18,No,Entertainment,Low,7.0,Cat_2,1.0
Female,Yes,45,Yes,Artist,Average,4.0,Cat_6,1.0
Male,Yes,41,No,Artist,Average,2.0,Cat_6,8.0
Female,Yes,36,No,Engineer,Average,2.0,Cat_4,
Female,No,37,Yes,Artist,Low,2.0,Cat_6,5.0
Male,Yes,50,Yes,Executive,High,6.0,Cat_6,
Female,Yes,72,Yes,Lawyer,High,2.0,Cat_6,1.0
Female,No,19,No,Healthcare,Low,3.0,Cat_6,0.0
Male,Yes,66,Yes,Artist,High,2.0,Cat_6,
Male,No,31,No,Entertainment,Low,7.0,Cat_4,1.0
Male,Yes,47,Yes,Artist,Low,3.0,Cat_6,
Male,No,26,Yes,Doctor,Low,3.0,Cat_2,4.0
Female,No,21,No,Healthcare,Low,5.0,Cat_2,7.0
Female,No,31,Yes,Healthcare,Low,3.0,Cat_6,4.0
Female,Yes,39,Yes,Artist,Average,2.0,Cat_6,14.0
Female,Yes,37,Yes,Artist,High,2.0,Cat_6,
Female,Yes,38,No,Engineer,Low,5.0,Cat_1,1.0
Male,No,23,No,Healthcare,Low,3.0,Cat_6,
Male,No,18,No,Healthcare,Low,3.0,Cat_6,1.0
Male,No,35,Yes,Artist,Low,2.0,Cat_6,5.0
Male,Yes,85,No,Lawyer,Low,1.0,Cat_6,
Female,No,35,Yes,Engineer,Low,1.0,Cat_6,4.0
Male,Yes,57,No,Executive,Low,2.0,Cat_6,1.0
Female,Yes,58,Yes,Homemaker,High,2.0,Cat_5,
Female,Yes,89,,Artist,High,2.0,Cat_6,1.0
Male,No,37,Yes,Artist,Low,3.0,Cat_6,8.0
Male,No,20,No,Healthcare,Low,4.0,Cat_6,0.0
Female,Yes,30,Yes,Doctor,Low,2.0,Cat_6,4.0
Male,No,18,No,Healthcare,Low,4.0,Cat_4,6.0
Male,Yes,57,Yes,Artist,Average,3.0,Cat_2,
Female,No,26,Yes,Healthcare,Low,1.0,Cat_6,10.0
Female,No,35,No,Entertainment,Low,1.0,Cat_6,
Male,Yes,65,Yes,Artist,Average,3.0,Cat_6,1.0
Female,No,43,Yes,Entertainment,Low,6.0,Cat_6,
Male,Yes,63,Yes,Artist,Average,3.0,Cat_6,1.0
Male,Yes,84,Yes,Lawyer,Low,1.0,Cat_6,
Female,Yes,46,Yes,Marketing,High,3.0,Cat_6,
Female,No,18,No,Healthcare,Low,3.0,Cat_6,1.0
Female,Yes,61,No,Marketing,Average,,Cat_6,
Female,No,30,Yes,Healthcare,Low,3.0,Cat_6,2.0
Female,Yes,68,No,Lawyer,Low,1.0,Cat_4,
Male,Yes,60,No,Executive,High,2.0,Cat_6,
Male,Yes,61,Yes,Artist,Average,5.0,Cat_6,
Female,Yes,53,Yes,Artist,Low,1.0,Cat_6,2.0
Female,Yes,46,Yes,Artist,Average,4.0,Cat_6,1.0
Female,Yes,81,No,Lawyer,High,2.0,Cat_6,
Female,No,20,No,Healthcare,Low,3.0,Cat_4,2.0
Female,No,27,Yes,Doctor,Low,2.0,Cat_3,
Female,Yes,60,Yes,Engineer,Average,4.0,Cat_2,4.0
Female,Yes,36,Yes,Entertainment,Low,2.0,Cat_6,6.0
Male,Yes,40,Yes,Doctor,Average,5.0,Cat_6,
Female,Yes,50,Yes,Artist,Low,1.0,Cat_6,1.0
Male,No,18,No,Healthcare,Low,2.0,Cat_4,0.0
Female,Yes,70,No,Doctor,Average,2.0,Cat_6,
Female,No,35,No,Engineer,Low,1.0,Cat_4,1.0
Male,Yes,41,Yes,Artist,Low,2.0,Cat_6,1.0
Female,No,26,Yes,Doctor,Low,4.0,Cat_6,9.0
Female,Yes,50,Yes,Engineer,Low,2.0,Cat_6,1.0
Male,Yes,45,Yes,Artist,Average,5.0,Cat_6,7.0
Male,No,38,Yes,Entertainment,Low,1.0,Cat_6,8.0
Male,Yes,38,Yes,Executive,High,3.0,Cat_6,
Male,Yes,35,Yes,Artist,Average,4.0,Cat_6,
Male,Yes,73,Yes,Artist,Low,2.0,Cat_6,1.0
Female,No,39,Yes,Artist,Low,1.0,Cat_6,7.0
Female,No,43,No,Artist,Low,1.0,Cat_6,
Male,No,41,Yes,Doctor,Low,2.0,Cat_6,2.0
Female,No,38,Yes,Artist,Low,1.0,Cat_6,7.0
Female,Yes,43,Yes,Entertainment,Low,1.0,Cat_6,8.0
Female,No,41,No,Engineer,Low,1.0,Cat_6,9.0
Male,No,32,No,Entertainment,Low,3.0,Cat_7,1.0
Female,No,38,Yes,Artist,Low,1.0,Cat_6,9.0
Female,Yes,39,Yes,Artist,Average,3.0,Cat_3,
Female,Yes,26,No,Engineer,Low,2.0,Cat_6,7.0
Male,No,18,No,Healthcare,Low,4.0,Cat_6,
Female,Yes,75,Yes,Lawyer,High,2.0,Cat_6,
Female,,50,Yes,Artist,Average,1.0,Cat_6,8.0
Male,Yes,62,Yes,Entertainment,Average,3.0,Cat_6,
Male,No,48,Yes,Artist,Low,1.0,Cat_6,
Male,No,47,No,Artist,Low,3.0,Cat_5,3.0
Female,No,27,Yes,Healthcare,Low,6.0,Cat_6,2.0
Female,No,27,Yes,Healthcare,Low,9.0,Cat_6,1.0
Male,Yes,68,No,Executive,High,2.0,Cat_6,1.0
Female,No,50,Yes,Engineer,Low,5.0,Cat_6,1.0
Male,Yes,89,Yes,Doctor,Low,1.0,Cat_6,
Female,No,23,No,Healthcare,Low,5.0,Cat_6,2.0
Male,Yes,48,Yes,Artist,Average,3.0,Cat_6,1.0
Male,No,22,No,Healthcare,Low,4.0,Cat_6,0.0
Male,No,23,No,,Low,8.0,Cat_4,
Female,Yes,81,No,Lawyer,Low,,Cat_3,1.0
Male,No,31,No,Artist,Low,7.0,Cat_2,
Male,No,28,Yes,Artist,Low,1.0,Cat_6,
Female,No,43,Yes,Artist,Low,1.0,Cat_6,
Male,Yes,40,Yes,Artist,Average,3.0,Cat_6,
Female,Yes,51,Yes,Artist,Low,,Cat_6,
Male,Yes,50,Yes,Artist,Average,2.0,Cat_6,1.0
Male,No,31,No,Doctor,Low,7.0,Cat_4,4.0
Male,Yes,80,No,Lawyer,Low,,Cat_3,7.0
Female,No,33,No,Homemaker,Low,3.0,Cat_6,
Female,Yes,72,Yes,Artist,Average,3.0,Cat_4,
Male,Yes,49,No,Artist,Low,1.0,Cat_6,1.0
Male,Yes,60,Yes,Lawyer,Low,2.0,Cat_6,9.0
Male,Yes,68,Yes,Lawyer,High,2.0,Cat_6,
Male,Yes,68,Yes,Artist,Low,1.0,Cat_6,2.0
Male,Yes,84,Yes,Lawyer,Low,,Cat_4,
Male,Yes,70,Yes,Artist,Average,2.0,Cat_6,1.0
Male,Yes,50,Yes,Executive,High,4.0,Cat_6,
Female,Yes,51,Yes,Artist,Average,4.0,Cat_2,
Male,No,21,No,Healthcare,Low,3.0,Cat_2,3.0
Female,No,32,No,Marketing,Low,4.0,Cat_6,
Female,Yes,73,,Lawyer,High,2.0,Cat_1,
Female,No,32,No,Doctor,Low,3.0,Cat_4,1.0
Female,Yes,80,Yes,Lawyer,High,,Cat_6,
Female,No,43,Yes,Artist,Low,2.0,Cat_6,9.0
Female,,61,Yes,Engineer,Average,3.0,Cat_6,9.0
Male,No,42,Yes,Healthcare,Low,3.0,Cat_6,8.0
Male,No,33,No,Entertainment,Low,2.0,Cat_4,6.0
Male,No,32,No,Entertainment,Low,4.0,Cat_6,9.0
Female,No,23,No,Healthcare,Low,3.0,Cat_6,1.0
Female,No,27,No,Doctor,Low,5.0,Cat_3,
Female,Yes,46,Yes,Artist,Average,2.0,Cat_6,1.0
Male,No,77,Yes,Lawyer,Low,1.0,Cat_3,
Male,Yes,87,No,Lawyer,Low,1.0,Cat_3,
Female,Yes,41,No,Marketing,High,5.0,Cat_3,1.0
Female,Yes,66,Yes,Lawyer,Low,1.0,Cat_6,4.0
Male,Yes,50,Yes,Artist,Average,2.0,Cat_6,
Female,No,51,Yes,Artist,Low,1.0,Cat_6,
Female,No,25,Yes,Artist,Low,5.0,Cat_4,
Female,No,36,No,Engineer,Low,,Cat_4,9.0
Female,Yes,51,No,Engineer,Average,3.0,Cat_4,
Male,No,26,Yes,Entertainment,Low,3.0,Cat_6,1.0
Female,No,37,Yes,Artist,Low,1.0,Cat_6,3.0
Female,No,37,No,Artist,Low,1.0,Cat_6,
Male,No,39,Yes,Artist,Low,2.0,Cat_6,5.0
Male,Yes,36,No,Healthcare,Low,2.0,Cat_3,1.0
Male,Yes,50,Yes,Healthcare,Average,1.0,Cat_6,1.0
Male,No,20,No,Healthcare,Low,4.0,Cat_4,4.0
Male,Yes,40,Yes,Entertainment,Low,1.0,Cat_6,5.0
Female,No,21,No,Entertainment,Low,5.0,Cat_4,5.0
Female,Yes,63,Yes,Artist,Average,4.0,Cat_6,4.0
Male,Yes,50,Yes,Entertainment,Low,1.0,Cat_6,1.0
Male,No,26,Yes,Entertainment,Low,5.0,Cat_5,7.0
Male,,33,No,Healthcare,Low,3.0,Cat_6,1.0
Female,No,41,Yes,Doctor,Low,,Cat_6,1.0
Male,No,33,No,Healthcare,Low,3.0,Cat_6,1.0
Female,Yes,32,No,Doctor,High,6.0,Cat_4,
