column,dtype,missing_count,missing_pct,unique_count,min,max,mean,std
age,int64,0,0.0,77,18.0,95.0,40.93621021432837,10.61876204097542
job,object,288,0.6370131162770122,11,,,,
marital,object,0,0.0,3,,,,
education,object,1857,4.1074074893278185,3,,,,
default,object,0,0.0,2,,,,
balance,int64,0,0.0,7168,-8019.0,102127.0,1362.2720576850766,3044.765829168518
housing,object,0,0.0,2,,,,
loan,object,0,0.0,2,,,,
contact,object,13020,28.798301298356595,2,,,,
day,int64,0,0.0,31,1.0,31.0,15.80641879188693,8.322476153044592
month,object,0,0.0,12,,,,
duration,int64,0,0.0,1573,0.0,4918.0,258.1630797814691,257.5278122651719
campaign,int64,0,0.0,48,1.0,63.0,2.763840658246887,3.0980208832791694
pdays,int64,0,0.0,559,-1.0,871.0,40.19782796222158,100.12874599059835
previous,int64,0,0.0,41,0.0,275.0,0.5803233726305546,2.3034410449312213
poutcome,object,36959,81.74780473778506,3,,,,
y,object,0,0.0,2,,,,
row_index,int64,0,0.0,45211,0.0,45210.0,22605.0,13051.435846935257
