dataset_id,hyperparameter,value,cv_macro_f1_mean,cv_macro_f1_sd
enron_spam,MultinomialNB alpha,0.01,0.9897333015710741,0.0004985993071590564
enron_spam,MultinomialNB alpha,0.1,0.9894566173480017,0.00032017614121142876
enron_spam,MultinomialNB alpha,0.5,0.9885086216053622,0.0008028172720255273
enron_spam,MultinomialNB alpha,1.0,0.9877975858335215,0.0009539393927614953
enron_spam,MultinomialNB alpha,2.0,0.9872445658571911,0.0010709820816604818
enron_spam,ComplementNB alpha,0.01,0.9896544781858945,0.0005379669983104355
enron_spam,ComplementNB alpha,0.1,0.9893382528452477,0.00032983423299795214
enron_spam,ComplementNB alpha,0.5,0.9883113436141958,0.0007424941418347198
enron_spam,ComplementNB alpha,1.0,0.9876793519985612,0.0008700770365202
enron_spam,ComplementNB alpha,2.0,0.9870869404083571,0.0012271906366915864
enron_spam,LogisticRegression C,0.25,0.9840766844310986,0.0017028200484476232
enron_spam,LogisticRegression C,0.5,0.9864493682904056,0.0015843054452789594
enron_spam,LogisticRegression C,1.0,0.9881097892875502,0.001336736038080127
enron_spam,LogisticRegression C,2.0,0.9903623905151372,0.0012456189009904383
enron_spam,LogisticRegression C,4.0,0.9909945191261131,0.0011627332706146533
enron_spam,LinearSVC C,0.25,0.9915476416919811,0.0010026570513294556
enron_spam,LinearSVC C,0.5,0.9924563615857946,0.0013244049274978376
enron_spam,LinearSVC C,1.0,0.9928515441455824,0.000954715076658211
enron_spam,LinearSVC C,2.0,0.9932860771652796,0.0008834532678237293
enron_spam,LinearSVC C,4.0,0.9932465878374448,0.0009215176841837115
