dataset_id,hyperparameter,value,cv_macro_f1_mean,cv_macro_f1_sd
spamassassin,MultinomialNB alpha,0.01,0.9847964788061129,0.001777084227974705
spamassassin,MultinomialNB alpha,0.1,0.9833674581532421,0.0014193515495851908
spamassassin,MultinomialNB alpha,0.5,0.9746912408992193,0.00386846764950096
spamassassin,MultinomialNB alpha,1.0,0.953039892984739,0.006804050341457192
spamassassin,MultinomialNB alpha,2.0,0.9117623015087772,0.004721861250884837
spamassassin,ComplementNB alpha,0.01,0.9860362357877032,0.002210910051764774
spamassassin,ComplementNB alpha,0.1,0.9846232321569255,0.00297110800272844
spamassassin,ComplementNB alpha,0.5,0.9809076383780946,0.0027068244017533403
spamassassin,ComplementNB alpha,1.0,0.9699796344195862,0.0055377652859773105
spamassassin,ComplementNB alpha,2.0,0.9494261220891511,0.007871805439777455
spamassassin,LogisticRegression C,0.25,0.9752856602004704,0.0023932883257624478
spamassassin,LogisticRegression C,0.5,0.9791032574982245,0.001968716020969579
spamassassin,LogisticRegression C,1.0,0.9815094111671648,0.0011890710172559372
spamassassin,LogisticRegression C,2.0,0.9848732771622531,0.001806904932359992
spamassassin,LogisticRegression C,4.0,0.9858186445078803,0.002076861649936049
spamassassin,LinearSVC C,0.25,0.9855806056006312,0.002289712429219761
spamassassin,LinearSVC C,0.5,0.9858150637250352,0.0025658101848185983
spamassassin,LinearSVC C,1.0,0.9865244270115907,0.0027833940455127123
spamassassin,LinearSVC C,2.0,0.986520543327115,0.0036794067580466945
spamassassin,LinearSVC C,4.0,0.9877223914240754,0.003521680832594278
